Stage,#,Category,Item,Format,Spec,Notes,Status
Stage 1 - Pre-vote,1,Branding,Header logo,Image URL,PNG or SVG,Transparent background,
Stage 1 - Pre-vote,2,Branding,ILU logo,Image URL,PNG or SVG,Transparent background,
Stage 1 - Pre-vote,3,Dates,Voting open date,Date,DD-MM-YYYY,When voting switch flips,
Stage 1 - Pre-vote,4,Dates,Ceremony / event date,Date,DD-MM-YYYY,Shown in countdown,
Stage 1 - Pre-vote,5,Sponsors,Presenting - logo,Image URL,PNG or SVG,Transparent background,
Stage 1 - Pre-vote,6,Sponsors,Powered By - logo,Image URL,PNG or SVG,Transparent background,
Stage 1 - Pre-vote,7,Sponsors,Special Partner - logo,Image URL,PNG or SVG,Transparent background,
Stage 1 - Pre-vote,8,Sponsors,Associate 1 - logo,Image URL,PNG or SVG,Transparent background,
Stage 1 - Pre-vote,9,Sponsors,Associate 2 - logo,Image URL,PNG or SVG,Transparent background,
Stage 1 - Pre-vote,10,Sponsors,Telecast Partner - logo,Image URL,PNG or SVG,Transparent background,
Stage 1 - Pre-vote,11,Sponsors,Presenting - destination,URL,-,Where logo click goes,
Stage 1 - Pre-vote,12,Sponsors,Powered By - destination,URL,-,,
Stage 1 - Pre-vote,13,Sponsors,Special Partner - destination,URL,-,,
Stage 1 - Pre-vote,14,Sponsors,Associate 1 - destination,URL,-,,
Stage 1 - Pre-vote,15,Sponsors,Associate 2 - destination,URL,-,,
Stage 1 - Pre-vote,16,Sponsors,Telecast Partner - destination,URL,-,,
Stage 1 - Pre-vote,17,Navigation,Previous editions - Season 1,URL,-,Confirm or replace existing link,
Stage 1 - Pre-vote,18,Navigation,Previous editions - Season 2,URL,-,Confirm or replace existing link,
Stage 1 - Pre-vote,19,Gallery,Photo 1,Image URL,Landscape - min 1200px wide,,
Stage 1 - Pre-vote,20,Gallery,Photo 2,Image URL,Landscape - min 1200px wide,,
Stage 1 - Pre-vote,21,Gallery,Photo 3,Image URL,Landscape - min 1200px wide,,
Stage 1 - Pre-vote,22,Gallery,Photo 4,Image URL,Landscape - min 1200px wide,,
Stage 1 - Pre-vote,23,Gallery,Photo 5,Image URL,Landscape - min 1200px wide,,
Stage 1 - Pre-vote,24,Gallery,Photo 6,Image URL,Landscape - min 1200px wide,,
Stage 1 - Pre-vote,25,Gallery,Photo 7,Image URL,Landscape - min 1200px wide,,
